City ST Country,Population (k),Elevation (m),Avg. Temp (C),High Temp (C),Low Temp (C),Rainfall (cm),Snowfall (cm),Rel. Humid (%),Wind (km/h),Continent,Lat (N/S),Lon (E/W)
Saint_Joseph MO USA,77,247,11.9,31.7,-8.9,87.6,33,69.7,14.1,North America,39.77,-94.85
Madison WI USA,243,261,8.1,27.6,-11.6,87.6,97,70.6,13.8,North America,43.07,-89.40
Albany NY USA,98,83,9.7,28.6,-8.3,87.5,101.8,69.3,13,North America,42.65,-73.76
Chilpancingo GR Mexico,187,1250,22.3,29.5,11.6,87.3,0,77,4.1,Latin America,17.55,-99.50
Saint_Catharines ON Canada,133,122,9,27.4,-7,87.2,116.2,78,9.9,North America,43.16,-79.25
San_Marcos TX USA,54,197,19.9,35.8,3.4,87.1,1.3,64,14.4,North America,29.88,-97.94
Rochester NY USA,210,166,9,27.2,-8,87.1,252.7,71.6,14.8,North America,43.16,-77.61
Mandalay Myanmar,1225,76,26,37,13,87,0,67,7.4,Asia,21.96,96.09
Tabora Tanzania,227,1181,23,32,14,87,0,58,7.9,Africa,-5.04,32.82
Bunbury WA Australia,100,4,16,27.8,8.4,87,0,68.5,8.8,Oceania,-33.33,115.64
Lafayette IN USA,70,184,10,27,-8,87,66,72,13.7,North America,40.42,-86.88
Graz Austria,266,337,9,25,-5,87,67.4,76.7,5.8,Europe,47.07,15.44
Presque_Isle ME USA,9,162,5,25,-16,87,247,77,12.1,North America,46.68,-68.02
Charleroi Belgium,205,192,10,22,1,87,6,82.5,17,Europe,50.41,4.44
Belfast Northern_Ireland UK,281,4,9.9,19.7,2.1,87,5,81,16,Europe,54.60,-5.93
Toledo OH USA,282,203,10.2,29.2,-7.6,86.9,95.5,71.2,14.3,North America,41.66,-83.56
Ardmore OK USA,25,27,16.9,35,-1.9,86.8,10.9,65,9.2,North America,34.17,-97.14
Burlington VT USA,42,100,7.2,26.7,-12.4,86.5,186.4,68.5,13.7,North America,44.48,-73.21
Tiruchirappalli TN India,917,88,28,37,21,86.2,0,65.5,17,Asia,10.79,78.70
Janesville WI USA,64,240,8,29,-12,86.2,82.8,73.5,12.7,North America,42.68,-89.02
Emporia KS USA,25,366,13.2,33.1,-6.6,86.1,43.4,66,18.7,North America,38.40,-96.18
Kano Nigeria,3550,476,26,38,12,86,0,48,4.6,Africa,12.00,8.59
Beirut Lebanon,361,18,20,29,10,86,0,68.8,12,Asia,33.89,35.50
Prizren Kosovo,185,402,11.8,28.5,-3,86,9,69,6,Europe,42.22,20.74
Milwaukee WI USA,599,204,9.1,28.5,-10.6,86,102.1,69.6,16.7,North America,43.04,-87.91
Verona Italy,256,90,13,28,-1,86,1,65,4.5,Europe,45.44,10.99
Pietermaritzburg South_Africa,223,642,17.7,27,4,86,0,71.3,9.7,Africa,-29.60,30.38
Linz Austria,192,296,9.4,24.8,-2.8,86,54.1,74.4,7.2,Europe,48.31,14.29
Tasiilaq Greenland,2,52,-1,8,-10,85.8,12.5,79,14,North America,65.61,-37.63
Qaqortoq Greenland,3,34,0,10,-8,85.7,20,81.5,28,North America,60.72,-46.04
Peterborough ON Canada,79,190,6.2,26.4,-13.7,85.5,151.2,78,10.6,North America,44.31,-78.32
Trondheim Norway,178,17,4.8,17,-5,85.5,3,75.5,12,Europe,63.43,10.40
Ponca_City OK USA,25,305,15,34.2,-4.7,85.4,22.1,69.5,16.3,North America,36.71,-97.09
Toronto ON Canada,2615,172,7.7,27.1,-10.1,85.3,142.6,71.1,12.4,North America,43.65,-79.38
Petawawa ON Canada,16,148,4.3,25.6,-18.3,85.3,204.3,77,10.2,North America,45.90,-77.28
Waco TX USA,129,152,19.8,35.8,3.3,85.2,8.4,68.4,16.3,North America,31.55,-97.15
Stillwater OK USA,47,267,15.4,34,-4.1,85.2,25.6,67.5,16.3,North America,36.12,-97.06
Oklahoma_City OK USA,611,392,15.7,33.9,-3.1,85.2,21.8,66.1,18.5,North America,35.47,-97.52
Kankakee IL USA,27,190,10.5,30.4,-8.7,85.2,57.4,74,12.5,North America,41.12,-87.86
Muskegon MI USA,37,191,9.2,26.9,-6.6,85.1,238,72.6,16.1,North America,43.23,-86.25
Brighton England UK,156,2,10.5,20.8,1.9,85.1,1,83,16.1,Europe,50.82,-0.14
Barranquilla Colombia,1218,10,28,32,23,85,0,84.2,22,South America,11.00,-74.81
Rockhampton QLD Australia,81,10,22,32,9,85,0,68,12,Oceania,-23.38,150.51
Lilongwe Malawi,669,1132,19,30,6,85,0,69,7.3,Africa,-13.96,33.77
Roseburg OR USA,22,212,12,28,1,85,15.2,72.6,5.5,North America,43.22,-123.34
Kanggye North_Korea,252,306,7,27,-13,85,4,70.5,8,Asia,40.97,126.60
Mbeya Tanzania,2707,1706,17,26,7,85,0,68,5.2,Africa,-8.91,33.46
Innsbruck Austria,122,608,8,25,-6,85,110.3,72,6.5,Europe,47.27,11.40
Chur Switzerland,33,556,9.7,24.8,-3,84.9,101.7,70,9.7,Europe,46.85,9.53
Kenosha WI USA,100,174,8.5,26.4,-9.9,84.8,94.2,76,14.4,North America,42.58,-87.82
Saguenay QC Canada,144,15,2,24,-21,84.8,336,81,6,North America,48.43,-71.07
Austin TX USA,885,188,20.3,35.5,4.3,84.7,2.3,69.5,11.3,North America,30.27,-97.74
Cologne Germany,1024,99,10,22,-1,84.7,2,75,9,Europe,50.94,6.96
Battle_Creek MI USA,52,286,9,28.1,-9.1,84.3,147.6,72,14.5,North America,42.32,-85.18
Sandusky OH USA,25,191,10.8,27.6,-5.9,84.3,41.1,75.5,14.1,North America,41.45,-82.71
Davenport IA USA,102,229,10,30,-9,84.2,80.3,76,16.1,North America,41.52,-90.58
La_Crosse WI USA,52,199,8.6,28.9,-12.8,84.1,110,68.7,14.2,North America,43.80,-91.24
Traverse_City MI USA,15,189,7.4,26.8,-9.3,84.1,257.6,78,11.8,North America,44.76,-85.62
Harare Zimbabwe,1485,1502,19,27,9,84,0,63,12,Africa,-17.83,31.03
Skien Norway,54,14,6,20,-3,84,4,76,9,Europe,59.19,9.61
Klaipeda Lithuania,159,10,7,19,-5,84,4,82.9,17,Europe,55.70,21.14
Kristiansund Norway,24,61,6,15,0,84,11,75,16,Europe,63.11,7.73
Rochester MN USA,111,395,7.4,27.4,-13.5,83.8,131.8,69.5,20.1,North America,44.01,-92.48
Wausau WI USA,39,367,6,27,-14,83.8,131,73,12.1,North America,44.96,-89.63
Shinyanga Tanzania,108,1133,22.9,33,14,83.7,0,67.3,10.1,Africa,-3.68,33.43
Fort_Worth TX USA,793,224,18.2,35.5,-0.1,83.6,1,67.5,16.2,North America,32.76,-97.33
San_Marino,31,120,12.8,26.4,0.7,83.6,1,75,6.5,Europe,43.94,12.46
Messina Sicily Italy,243,50,18.6,29.9,9.6,83.2,0,68.9,12,Europe,38.19,15.55
Sault_Sainte_Marie MI USA,14,213,4.7,24.2,-14.1,83.2,304,74.1,12.9,North America,46.50,-84.35
Timmins ON Canada,42,294,1.3,24.2,-23.9,83.1,313.4,71.5,11.9,North America,48.48,-81.33
Chandigarh HR India,1055,308,24,40,6,83,0,52,5.5,Asia,30.73,76.78
Florence Italy,362,43,14,31,1,83,0,73,5.6,Europe,43.77,11.26
Split Croatia,178,21,15,29,3,83,2,61,9,Europe,43.51,16.44
Kingston ON Canada,123,92,6,24,-11,83,158,78,6.7,North America,44.23,-76.49
Wichita KS USA,387,402,13.9,33.5,-5.6,82.8,37.8,66.9,18.7,North America,37.69,-97.33
Corpus_Christi TX USA,316,13,22.3,34.5,8.1,82.6,0,76.1,19.3,North America,27.80,-97.40
Mount_Vernon WA USA,33,0,10.3,23.2,0.9,82.2,9.4,76,10.1,North America,48.42,-122.33
Bujumbura Burundi,497,782,25,28,22,82,0,76.5,19,Africa,-3.36,29.36
Shangri_La YN China,130,3286,6.5,15.4,-10.6,82,10,57.5,6.9,Asia,27.83,99.70
Ann_Arbor MI USA,117,231,9.3,28.6,-8.3,81.9,104.9,77,12.5,North America,42.28,-83.74
Perugia Italy,163,511,13.1,29.8,0.2,81.6,1,75.3,6.7,Europe,43.11,12.39
Rio_Cuarto Argentina,160,420,17,28,5,81,0,65.5,27,South America,-33.12,-64.35
Nantes France,285,27,12,24,2,81,0,79.5,16,Europe,47.22,-1.55
Brussels Belgium,1139,57,10,22,1,81,4,80.8,17,Europe,50.85,4.35
Amsterdam Netherlands,780,2,10,21,1,81,8,82.5,19,Europe,52.37,4.90
Reykjavik Iceland,119,60,4,12,-2,81,12,80.8,19,Europe,64.13,-21.82
Limerick Ireland,195,7,10.2,20,2.8,80.9,8,84,10.7,Europe,52.67,-8.63
Lansing MI USA,114,256,9.1,28,-8.4,80.8,129.8,72.9,14.8,North America,42.73,-84.56
Mysuru KA India,887,753,24.5,34.3,16.2,80.4,0,76.3,7.5,Asia,12.30,76.64
Monaco Monaco,38,10,14.8,25,3,80.4,0,69.6,6.2,Europe,43.74,7.42
Morelia MC Mexico,598,54,26.9,35.7,18.5,80.3,0,58,4.1,Latin America,19.71,-101.19
Rotterdam Netherlands,610,3,10,21,1,80.2,5,82.5,17,Europe,51.92,4.48
Venice Italy,260,6,12.7,27.5,-0.9,80.1,2,75.8,12,Europe,45.44,12.32
Mazatlan SI Mexico,475,4,25,32,13,80,0,76.5,14,Latin America,23.25,-106.41
Perth WA Australia,2039,20,18,31,7,80,0,64.6,16,Oceania,-31.95,115.86
Mount_Pleasant MI USA,26,203,8.6,27.7,-9.1,80,105.4,67.5,15.3,North America,43.60,-84.77
Zadar Croatia,170,3,14,27,3,80,2,72,7.8,Europe,44.12,15.23
Mar_del_Plata Argentina,614,21,14.1,26.8,3.1,80,0,80.1,17,South America,-38.01,-57.54
Quetzaltenango Guatemala,153,2376,12,26,2.3,80,0,72.3,3.1,Latin America,14.85,-91.53
East_London South_Africa,267,131,18,25,10,80,0,68,11.2,Africa,-33.03,27.85
Albany WA Australia,34,71,15,25,7,80,0,76,19,Oceania,-35.03,117.88
Bournemouth England UK,183,10,10,22,1,80,1,81,15,Europe,50.72,-1.88
Ouagadougou Burkina_Faso,2700,306,27,39.3,16.5,79.6,0,48,5.6,Africa,12.37,-1.52
Fukuoka Japan,1483,11,16,31,2,79.6,105.4,68,12,Asia,33.59,130.40
Lawton OK USA,97,338,17.1,36.3,-2.5,79.3,16,63,15.4,North America,34.60,-98.40
Hyderabad TS India,7859,544,26.4,39,14.5,79,0,60.5,14,Asia,17.39,78.49
Kaohsiung Taiwan,2779,44,22.2,32.2,12.8,79,0,81.3,7.4,Asia,22.63,120.30
Kalamata Greece,51,7,17.8,31.3,5.7,79,0,67.9,5.3,Europe,37.04,22.11
Cordoba Argentina,1330,473,17.3,29.3,4,79,0,69.2,11.5,South America,-31.42,-64.19
Le_Havre France,175,103,11,18,3,79,1,85.5,25,Europe,49.49,0.11
Sari Iran,296,30,17.9,32.2,4.3,78.9,0,73,4.2,Middle East,36.57,53.06
Agrinio Greece,106,35,17.2,33.6,3.4,78.8,0,67.2,3.7,Europe,38.62,21.41
Eau_Claire WI USA,68,270,7.1,28.3,-14.8,78.7,113.8,74,11.9,North America,44.81,-91.50
Sheboygan WI USA,49,227,7.3,26.8,-11.4,78.7,117,73,12.9,North America,43.75,-87.71
Hayward WI USA,2,366,5.2,27.7,-18.3,78.6,147.3,73.5,9,North America,46.01,-91.48
Maribor Slovenia,94,264,9,24,-5,78.2,6,76.6,9,Europe,46.55,15.65
Parma Italy,177,57,11,29,-2,78.1,2,68.2,4.8,Europe,44.80,10.33
Marinette WI USA,11,181,7.5,28.1,-12.3,78,123.4,64,12.3,North America,45.10,-87.63
Newcastle South_Africa,363,1194,17.5,28,3,78,0,61.5,8.7,Africa,-27.71,30.00
Flint MI USA,100,233,8.6,27.5,-9.3,78,73.2,72.3,15,North America,43.01,-83.69
Basel Switzerland,165,316,9.6,24.1,-1.9,77.8,36.9,76.5,9,Europe,47.56,7.59
Kiel Germany,240,31,8,20,-1,77.8,3,77.5,17,Europe,54.32,10.12
Grants_Pass OR USA,35,291,12.3,32.2,0.2,77.7,11.4,64.5,16.2,North America,42.44,-123.33
Omaha NE USA,434,298,10.6,30.7,-10.2,77.7,67.1,69.8,15.9,North America,41.25,-96.00
Minneapolis MN USA,400,254,7.9,28.6,-13.6,77.7,138.2,66.8,16.1,North America,44.98,-93.27
Rhinelander WI USA,8,487,4.4,25.2,-17.9,77.7,158.2,79,10.5,North America,45.64,-89.41
Jijiga Ethiopia,159,1645,18.9,30,11,77.6,0,68.5,10.8,Africa,9.36,42.80
San_Antonio TX USA,1409,236,20.6,35.2,4.3,77.5,1.5,67.1,14.5,North America,29.42,-98.49
Groningen Netherlands,190,-1,8.9,21.9,-0.8,77.4,8,82,11.9,Europe,53.22,6.57
Brownwood TX USA,19,423,18.2,35.7,-1.1,77.2,2.8,60,12.1,North America,31.71,-98.99
Waialua HI USA,4,1,22.8,30.1,16.1,77.1,0,69,17.5,North America,21.58,-158.13
Hutchinson KS USA,42,470,13.3,33.4,-6.7,77,33.5,69,15.4,North America,38.06,-97.93
Tripoli Greece,47,651,14.1,30.1,0.9,77,2,63,4.9,Europe,37.51,22.37
Maputo Mozambique,1206,43,23,30,15,77,0,74.6,17,Africa,-25.89,32.61
Sandpoint ID USA,7,648,7,28,-7,77,190,59,6.4,North America,48.28,-116.55
Lyon France,484,200,11,26,0,77,2,71.7,16,Europe,45.76,4.84
Enschede Netherlands,158,34,9,21,0,77,7,82,9.4,Europe,52.22,6.89
Luxembourg,543,378,8,21,-1,77,6,78.8,16,Europe,49.82,6.13
Truckee CA USA,16,1818,6.3,27.9,-9.7,76.6,512.3,58,8.2,North America,39.33,-120.18
Appleton WI USA,74,233,7.3,27.7,-12.9,76.1,114.8,74.1,15.8,North America,44.26,-88.42
Ahmedabad GJ India,5571,54,27.8,41.4,13.1,76,0,58,8,Asia,23.02,72.57
Port_Huron MI USA,29,197,7,26,-8,76,107,72,14.5,North America,42.97,-82.42
Dusseldorf Germany,594,40,10,23,0,76,2,79,8.9,Europe,51.23,6.77
Oslo Norway,619,17,6,21,-7,76,4,77.9,9,Europe,59.91,10.75
Kerrville TX USA,22,490,18.1,34.6,0.7,75.8,3.3,63,11.3,North America,30.05,-99.14
Dublin Ireland,528,85,9.8,19.5,2.4,75.8,7,84.6,10.3,Europe,53.35,-6.26
Ely MN USA,3,421,3.5,26.3,-21.5,75.7,164.1,71.4,8.7,North America,47.90,-91.87
Huancayo Peru,323,3261,10.1,20,5,75.5,2,65.4,12.3,South America,-12.07,-75.21
Detroit MI USA,689,192,10.2,28.6,-6.9,75.3,83.6,69,15.6,North America,42.33,-83.05
Accra Ghana,2291,68,27,31,23,75,0,80.5,9,Africa,5.60,-0.19
Nairobi Kenya,3138,1623,19,26,12,75,0,71.7,17,Africa,-1.29,36.82
London England UK,8674,61,10.3,22.9,1,75,5,77.1,10.7,Europe,51.51,-0.13
Hamburg Germany,1787,15,8,21,-1,75,5,79,16,Europe,53.55,9.99
Aberdeen Scotland UK,212,64,8.6,18.5,0.6,75,2,84,16.3,Europe,57.15,-2.09
Douglas Isle_of_Man,26,17,10.2,18.1,3.4,75,2,81,22.8,Europe,54.15,-4.49
Ipiales Colombia,123,2950,12,16,5,75,0,68.5,4.7,South America,0.83,-77.64
Green_Bay WI USA,105,207,6.8,26.6,-12.8,74.9,130.6,72.5,14.3,North America,44.52,-88.02
Uzhgorod Ukraine,115,117,10.1,26.9,-4.8,74.8,6,72,9,Europe,48.62,22.29
Toluca MX Mexico,489,2638,13.5,24,1.2,74.8,0,65,3.8,Latin America,19.28,-99.66
Santa_Cruz CA USA,63,4,13.8,23.9,3.8,74.7,0,74.5,5.5,North America,36.97,-122.03
Eleele HI USA,2,50,23.1,29.4,17.3,74.6,0,75,20.7,North America,21.91,-159.59
Sulaymaniyah Iraq,1937,852,19,37,2,74.5,0,42.5,14,Middle East,35.56,45.44
Fond_du_Lac WI USA,43,233,7.8,28.3,-12.6,74.5,100.3,73.5,14.1,North America,43.77,-88.45
Guantanamo Cuba,511,118,25,33,20,74.2,0,72,8,Latin America,20.14,-75.21
Saint_Johns Antigua,22,47,27,30,22,74,0,79.6,22,Latin America,17.13,-61.85
Albury NSW Australia,51,179,15,30,2,74,0,75,10,Oceania,-36.07,146.91
Latakia Syria,1890,7,19,28,8,74,0,69.2,12,Middle East,35.54,35.80
Gothenburg Sweden,492,53,8,19,-1,74,7,80.5,19,Europe,57.71,11.97
Victoria TM Mexico,278,327,23.4,35.2,10,73.8,0,62,6.4,Latin America,19.86,-90.49
Tangier Morocco,948,21,17,28,8,73.7,0,75.5,28,Africa,35.76,-5.83
Rome Italy,3906,3,15.5,28.7,3.7,73.3,0,74.8,14,Europe,41.90,12.50
Nice France,343,10,16,27.7,5.3,73.3,0,72.9,12,Europe,43.71,7.26
Algiers Algeria,3416,24,17,31,6,73,0,73,19,Africa,36.75,3.06
Bay_City MI USA,34,182,8.6,28.5,-9.3,73,92.5,76,16.1,North America,43.59,-83.89
Seki Azerbaijan,64,552,6.9,25.6,-11.5,73,8,62.1,33.7,Middle East,41.20,47.16
Antwerp Belgium,503,14,10,22,1,73,6,80.8,16,Europe,51.22,4.40
Stuttgart Germany,598,418,8,22,-2,73,2,75,12,Europe,48.78,9.18
Limoges France,139,271,11.4,23.9,1.5,72.7,1,75,8,Europe,45.83,1.26
Lisbon Portugal,531,122,17,27.8,8.1,72.6,0,73.8,16,Europe,38.72,-9.14
Dryden ON Canada,8,372,2,23.7,-22.5,72.6,138.9,75,4.8,North America,49.78,-92.84
Girona Spain,97,143,14.3,29.2,1,72.4,2,72,6.5,Europe,41.98,2.82
Kaduqli Sudan,93,499,27,39,17,72.2,0,44,7.8,Africa,11.01,29.71
Pamplona Spain,196,459,12.5,27.8,1.2,72.1,3,68,6.5,Europe,42.81,-1.65
Buraydah Saudi_Arabia,614,649,24,41,7,72,0,31,12,Middle East,26.36,43.98
Johannesburg South_Africa,4435,1699,16,25,5,72,0,61.3,14,Africa,-26.20,28.05
Samsun Turkey,605,3,14,25,4,72,0,74.5,9,Middle East,41.28,36.34
Escanaba MI USA,13,190,5.6,24.1,-13.1,72,125,71,13,North America,45.75,-87.06
Ashland WI USA,8,203,4.9,26.7,-17.1,71.7,138.2,75.5,12.4,North America,46.59,-90.88
Alpena MI USA,11,210,6.4,26.3,-11.4,71.6,214.1,73.6,12.7,North America,45.06,-83.43
Kenora ON Canada,15,410,3.1,24.4,-20.5,71.5,164.1,78,13.7,North America,49.77,-94.49
Parnu Estonia,40,10,4,21.7,-7.3,71.1,8,81,15.5,Europe,58.39,24.50
Aurangabad MH India,1175,585,25,40,13,71,0,58,8.3,Asia,19.88,75.34
Shenyang LN China,8106,42,8,28,-15,71,7,63,12,Asia,41.81,123.43
George South_Africa,157,232,17.2,25,7.8,71,0,73.8,6.3,Africa,-33.99,22.45
Vladivostok Russia,599,138,4.4,23.3,-15.3,71,7,71,21.6,Asia,43.12,131.89
Ostrava Czech_Republic,297,256,8,22,-3,71,4,75.5,17,Europe,49.82,18.26
Lappeenranta Finland,59,1,4.1,21.1,-12.2,71,14,82.1,6,Europe,61.05,28.19
Cuenca Ecuador,332,2527,14,21,7,71,0,75,5.2,South America,-2.90,-79.01
Wichita_Falls TX USA,105,315,17.8,36.2,-1.2,70.8,12.2,62.3,18.2,North America,33.91,-98.49
Bologna Italy,376,39,13.2,29.9,-1.5,70.8,1,73.6,6,Europe,44.49,11.34
Houghton MI USA,8,334,4.7,24.1,-12.9,70.6,527.6,77,14.2,North America,47.12,-88.57
Mekele Ethiopia,220,2076,21,27,15,70.5,0,60,6.3,Africa,13.49,39.47
Pune MH India,3115,559,24,37.9,11.6,70.4,0,60,9.4,Asia,18.52,73.86
Sioux_City IA USA,82,336,9.2,29.7,-12.1,70.4,53.9,71.1,17.1,North America,42.50,-96.40
Saint_Cloud MN USA,66,313,6.1,27.9,-16.8,70.4,116.1,71.1,14.5,North America,45.56,-94.16
Potiskum Nigeria,206,421,26.9,40,14,70.3,0,44.4,11.6,Africa,11.71,11.08
Bolzano Italy,103,240,11.6,29.2,-5.4,70.2,2,69.3,9,Europe,46.50,11.35
Grand_Marais MN USA,2,554,2.9,25.4,-21.2,70.1,161.3,72,9.7,North America,47.75,-90.33
Delhi DL India,16788,215,25.2,39.8,7.8,70,0,62.9,9,Asia,28.70,77.10
Enid OK USA,51,398,15,33,-3,70,28,67.8,17.7,North America,36.40,-97.88
Pretoria South_Africa,2927,1299,18,27,6,70,0,58.3,9,Africa,-25.75,28.23
Mount_Gambier SA Australia,25,63,13,25,5,70,0,74.5,17,Oceania,-37.83,140.78
Eindhoven Netherlands,216,21,9,22,0,70,6,81,9.1,Europe,51.44,5.47
Malmo Sweden,342,106,7,20,-2,70,8,81.6,20,Europe,55.60,13.00
Lincoln NE USA,269,362,11.4,32.8,-10,69.8,68.6,68.1,15.9,North America,40.83,-96.69
Minsk Belarus,1960,224,5.5,21,-7,69.8,8,78,10.4,Europe,53.90,27.56
Ponce PR USA,164,1111,26,31,21,69.7,0,75,15,North America,18.01,-66.61
Santarem Portugal,62,59,16,30.2,4.9,69.7,0,78,7.5,Europe,39.28,-8.70
Kaluga Russia,329,200,4.4,23.2,-12.2,69.7,30,77.7,10.6,Asia,54.55,36.29
Brownsville TX USA,182,5,23.6,34.7,10.9,69.6,0,77.1,16.9,North America,25.90,-97.50
Brainerd MN USA,14,373,4.8,27,-20.3,69.6,115.1,68.5,11.3,North America,46.35,-94.20
Rennes France,207,36,12.1,24.5,3,69.4,1,81,8.9,Europe,48.12,-1.68
Tallinn Estonia,408,43,5.5,21.2,-7.5,69.3,7,81,14,Europe,59.44,24.75
Belgrade Serbia,1167,99,12.5,28.7,-1.1,69.1,4,68,16,Europe,44.79,20.45
Oaxaca OA Mexico,255,1594,19,33.2,9,69,0,65,5.4,Latin America,17.07,-96.73
Chillan Chile,164,129,14,30,3,69,0,71,4.6,South America,-36.61,-72.10
Salta Argentina,535,1215,16.6,27.5,3.4,69,0,73.8,7.4,South America,-24.78,-65.42
Dijon France,151,221,10,25,-1,69,3,74,7.4,Europe,47.32,5.04
Launceston TAS Australia,87,165,11,23,2,69,0,74.5,20,Oceania,-41.43,147.14
Frankfurt Germany,688,113,10,23,-1,69,3,78,14,Europe,50.11,8.68
Kiev Ukraine,2804,124,7,23,-9,69,8,75.8,17,Europe,50.45,30.52
Bremen Germany,546,4,8,21,-1,69,4,79.5,17,Europe,53.08,8.80
Kaliningrad Russia,437,27,7.1,21,-5,69,9,79,14,Asia,54.71,20.45
Le_Mans France,143,52,5,25.5,1.8,68.8,1,78.5,12,Europe,48.01,0.20
Port_Angeles WA USA,19,88,9,20.3,0.2,68.8,21.8,75.5,7.3,North America,48.12,-123.43
Red_Lake ON Canada,5,386,1.3,23.8,-23.9,68.6,213.6,72,11.4,North America,51.01,-93.83
Sukhumi Georgia,63,12,14,26,2,68.1,2,77.5,9,Middle East,43.00,41.02
Izmir Turkey,3112,4,16,32,3,68,0,64.5,16,Middle East,38.42,27.14
Zloven Slovakia,43,317,8,24,-6,68,5,74.5,9,Europe,48.58,19.14
Linkoping Sweden,139,57,10,20,-5,68,6,78,4.8,Europe,58.41,15.62
Grand_Island NE USA,51,561,10.4,30.9,-9.8,67.8,73.7,68.8,18.2,North America,40.93,-98.34
Srinagar JK India,1273,1663,13.3,30.3,-2.3,67.6,1,73,4.2,Asia,34.08,74.80
Bemidji MN USA,14,425,3.7,25.2,-20.3,67.6,112,67,13.8,North America,47.49,-94.89
Mogilev Belarus,365,192,5.4,23.6,-8.5,67.6,9,80,14,Europe,53.90,30.33
Sumy Ukraine,268,174,7,23,-9,67.5,25,77,16,Europe,50.91,34.80
Pescara Italy,117,10,14.3,28.9,1.7,67.4,0,72.6,12,Europe,42.46,14.22
Liverpool England UK,466,25,10.5,20,3,67.2,3,75,17,Europe,53.41,-2.99
Zakho Iraq,350,454,17.7,37.4,-1,67.1,1,50.2,6.8,Middle East,37.15,42.67
Sioux_Falls SD USA,165,432,7.7,28.9,-13.9,67.1,113,66.5,16.7,North America,43.54,-96.73
Willmar MN USA,20,347,6.3,28.3,-17.1,67.1,115.3,79,13.6,North America,45.12,-95.05
Salina KS USA,48,405,13,34,-7,67,62,64,18.5,North America,38.84,-97.61
Bursa Turkey,2340,99,14,30,1,67,0,71.5,8,Middle East,40.19,29.06
Gweru Zimbabwe,92,1428,18,27,6,67,0,64.5,17,Africa,-19.47,29.81
Birmingham England UK,1101,99,9,20,1,67,5,78,16,Europe,52.49,-1.89
Baranovichi Belarus,170,193,6.1,23.9,-6.6,66.7,6.5,79,13.7,Europe,53.13,26.01
Pskov Russia,205,42,5.1,23.6,-9.1,66.6,28,80,8.6,Asia,57.82,28.33
Vitebsk Belarus,348,175,5.1,23.5,-8.5,66.5,10,79,13,Europe,55.18,30.20
Norfolk NE USA,25,463,9.2,31.7,-12.4,66.4,70.4,68.1,17.4,North America,42.03,-97.41
Duluth MN USA,86,435,4.6,23.4,-16.1,66.2,101.1,71.6,16.4,North America,46.79,-92.10
Porlamar Venezuela,145,18,27,31,24,66.1,0,84.5,25,South America,10.96,-63.87
Vientiane Laos,210,170,26,33,17,66,0,72.1,6,Asia,17.98,102.63
Cabinda Angola,598,24,25,30,18,66,0,81,6.2,Africa,-5.58,12.19
Ajaccio Corsica,66,9,15.5,28.9,4.1,66,0,78,9,Europe,41.92,8.74
Sibiu Romania,426,409,8,26,-8,66,8,79,4.6,Europe,45.80,24.13
Lviv Ukraine,724,324,7.8,23.9,-6.1,66,5,78,12.2,Europe,49.84,24.03
Dresden Germany,525,256,8,22,-3,66,6,79,8.8,Europe,51.05,13.74
Kaunas Lithuania,309,74,6,21,-6,66,7,81.3,16,Europe,54.90,23.90
Edinburgh Scotland UK,495,41,9.1,19.2,1.1,66,3,80,15.6,Europe,55.95,-3.19
Puerto_Baquerizo Galapagos,7,15,24.8,30.6,18.3,65.7,0,80,7.8,South America,-0.91,-89.61
Orsa Belarus,117,192,5.1,21,-9,65.6,10,80,12.6,Europe,54.51,30.41
Osijek Croatia,108,89,11,26,-2,65.5,4,75.5,8,Europe,45.55,18.70
Juliaca Peru,217,3834,8,18.8,-7.5,65.5,5,56.7,12.1,South America,-15.50,-70.13
Vilnius Lithuania,535,156,6,22,-8,65.4,7,78.5,11.1,Europe,54.69,25.28
Kayes Mali,127,46,30,40,18,65.3,0,48.5,9,Africa,14.44,-11.45
Leon GT Mexico,1239,1818,19.6,31.5,7.2,65.3,0,66,7,Latin America,21.13,-101.69
McCall ID USA,3,1533,4.8,26.7,-10.8,65.3,344.7,59.5,7.4,North America,44.91,-116.12
Potenza Italy,66,843,11.3,25,0.8,65.1,0,70.6,6.4,Europe,40.64,15.81
Barcelona Venezuela,326,7,27,32,21,65,0,74.6,16,South America,10.14,-64.68
Lahti Finland,103,25,4.1,22.2,-12.2,65,15,82.1,4.7,Europe,60.98,25.66
Patras Greece,167,3,17.9,30.9,6.1,64.8,0,65.6,4.6,Europe,38.25,21.73
Coimbatore TN India,1601,398,26.7,36.2,18.1,64.7,0,73,16,Asia,11.02,76.96
Novi_Sad Serbia,252,80,11.4,28.3,-3.1,64.7,3,74,6.4,Europe,45.27,19.83
Cherepovets Russia,316,131,3.3,23.1,-15,64.7,26.4,81,9.7,Asia,59.13,37.91
Hooper_Bay AK USA,1,13,-1.7,11.7,-13.2,64.7,173.2,77.9,23.5,North America,61.53,-166.10
Tunja Colombia,192,2828,13.2,19.3,7.2,64.6,0,69,3.7,South America,5.54,-73.36
Nizhniy_Novgorod Russia,1257,161,3.8,24.7,-11.8,64.4,22,76,10.1,Asia,56.30,43.94
Dillingham AK USA,2,26,1.3,16.2,-12.5,64.3,230.9,73,13.5,North America,59.04,-158.46
